City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
174,Bandarbeyla,SO,9.4942,50.8122,85.01,51,14,29.64,few clouds
175,Catamarca,AR,-28.4696,-65.7852,68.58,71,97,4.0,overcast clouds
176,Iqaluit,CA,63.7506,-68.5145,44.33,76,20,3.44,few clouds
177,Erzin,TR,36.9559,36.2,85.17,46,0,4.59,clear sky
178,Cabo San Lucas,MX,22.8909,-109.9124,85.6,66,28,12.5,scattered clouds
179,Beringovskiy,RU,63.05,179.3167,47.53,95,100,3.11,light rain
180,Waitati,NZ,-45.75,170.5667,45.46,97,100,4.65,overcast clouds
181,Sioux Lookout,CA,50.1001,-91.917,60.87,77,100,4.61,overcast clouds
182,Pisco,PE,-13.7,-76.2167,60.85,88,100,3.44,mist
183,Stornoway,GB,58.2093,-6.3865,51.93,92,75,1.14,broken clouds
184,Pacifica,US,37.6138,-122.4869,62.71,93,20,9.22,mist
185,Estanzuela,GT,15.0,-89.5667,72.77,97,67,1.77,broken clouds
186,Poum,NC,-20.2333,164.0167,74.64,71,0,3.78,clear sky
187,Luderitz,NA,-26.6481,15.1594,54.25,64,0,7.14,clear sky
188,Boma,GH,7.0805,-2.1697,70.36,98,99,3.58,overcast clouds
189,Nanortalik,GL,60.1432,-45.2371,42.35,95,67,3.11,broken clouds
190,Westport,US,41.1415,-73.3579,70.74,81,0,0.0,clear sky
191,Saskylakh,RU,71.9167,114.0833,84.04,39,26,12.21,scattered clouds
192,Victoria,HK,22.2855,114.1577,94.24,60,20,7.0,few clouds
193,Camacha,PT,33.0833,-16.3333,67.42,78,40,12.66,scattered clouds
194,Hithadhoo,MV,-0.6,73.0833,77.32,84,100,8.5,heavy intensity rain
195,Tefe,BR,-3.3542,-64.7114,72.32,92,11,2.08,few clouds
196,Cozumel,MX,20.5083,-86.9458,81.61,81,12,9.95,few clouds
197,Vandoeuvre-Les-Nancy,FR,48.65,6.1833,62.28,75,75,3.44,broken clouds
198,Axim,GH,4.8699,-2.2405,75.31,87,94,10.74,light rain
199,Ilulissat,GL,69.2167,-51.1,42.82,93,100,5.75,light intensity shower rain
200,Dingle,PH,10.9995,122.6711,86.41,74,90,12.73,overcast clouds
201,Codrington,AU,-38.2667,141.9667,56.32,77,100,14.16,overcast clouds
202,Talnakh,RU,69.4865,88.3972,69.21,37,25,4.09,scattered clouds
203,Najran,SA,17.4924,44.1277,84.85,24,81,14.88,broken clouds
204,Pevek,RU,69.7008,170.3133,36.19,82,100,10.45,overcast clouds
205,Pangnirtung,CA,66.1451,-65.7125,44.29,86,55,3.02,broken clouds
206,Freetown,SL,8.484,-13.2299,76.71,94,75,5.75,light rain
207,Sitka,US,57.0531,-135.33,60.69,77,75,14.97,broken clouds
208,Haileybury,CA,47.449,-79.6373,61.38,69,100,7.36,overcast clouds
209,Port Blair,IN,11.6667,92.75,87.84,70,40,6.91,scattered clouds
210,Damghan,IR,36.1683,54.348,88.63,28,59,6.08,broken clouds
211,Kondinskoye,RU,59.6481,67.41,68.49,42,66,9.86,broken clouds
212,Narsaq,GL,60.9167,-46.05,50.22,88,32,2.53,scattered clouds
213,Zyryanka,RU,65.75,150.85,63.55,36,43,12.26,scattered clouds
214,Port Macquarie,AU,-31.4333,152.9167,63.9,42,0,17.27,clear sky
215,Yuli,NG,9.6989,10.2744,72.95,95,100,7.02,overcast clouds
216,Markova,UA,48.6758,24.4138,58.73,94,100,3.85,overcast clouds
217,Agadez,NE,19.75,10.25,82.08,22,27,11.45,scattered clouds
218,Raudeberg,NO,61.9875,5.1352,48.96,78,81,12.15,broken clouds
219,Nargana,PA,9.4428,-78.5906,78.33,86,92,5.06,overcast clouds
220,Terrace,CA,54.5163,-128.6035,80.51,44,20,5.75,few clouds
